symbol,n_train,n_test,accuracy,roc_auc,brier,log_loss,ece,mean_prob,fraction_up,training_sec
BTC/USDT,7446,1314,0.5684931506849316,0.5876732893468753,0.24358467821832774,0.68014082851036,0.020375433577447578,0.5012956879487278,0.4992389649923896,238.49217295646667
ETH/USDT,6936,1224,0.7066993464052288,0.7659239033052614,0.1988573737886867,0.6238384000926507,0.05273297497449897,0.5114959488535753,0.4795751633986928,320.6486220359802
SOL/USDT,6936,1224,0.6805555555555556,0.7439719532554258,0.20808598637292752,0.6249078686455023,0.048639106227447756,0.49128213361409606,0.48937908496732024,322.3396997451782
XRP/USDT,6936,1224,0.6952614379084967,0.7525375193232565,0.20369989091145213,0.6279671755220806,0.04714829357823129,0.4793002698175337,0.46405228758169936,314.990895986557
BNB/USDT,6936,1224,0.7156862745098039,0.7762236828399965,0.19326463849165812,0.5732796601768053,0.04019055760130706,0.4960402440347179,0.4910130718954248,323.21412897109985
DOGE/USDT,6936,1224,0.6928104575163399,0.7660968729592874,0.19672925107139513,0.5784453331400928,0.034364333304723556,0.48303532849468367,0.47549019607843135,327.3993821144104
