,0
4h_ret_2,192
4h_ema_9_dev,142
1h_ret_3,140
4h_sma_7_dev,139
1h_ret_4,130
4h_price_pos_12,130
1h_sma_7_dev,123
1h_upper_shadow,120
1h_cci,120
4h_body,118
1d_ret_1,118
4h_upper_shadow,112
4h_ret_1,110
4h_ret_per_trade,107
1h_ret_2,104
4h_ret_7,97
1h_lower_shadow,95
1h_price_pos_48,92
1h_ret_24,91
1h_rsi_7,91
4h_ret_4,89
1h_ema_9_dev,87
4h_lower_shadow,85
1h_ret_8,82
1h_roc_20,80
1h_vwap_dev,80
autocorr_3,79
4h_macd_hist_chg,79
1h_avg_trade_size_norm,79
1h_tbr_dev_6,78
